budget,popularity,revenue,runtime,title,avg_rating,ratings,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,release_year,director,actor_1,actor_2,actor_3,success,director_success_rate,actor_1_success_rate,actor_2_success_rate,actor_3_success_rate
180000000,110.620647,758539785,97.0,Maleficent,7.0,4496,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2014,Robert Stromberg,Angelina Jolie,Elle Fanning,Sharlto Copley,1,1.0,0.6363636363636364,1.0,1.0
170000000,243.791743,710644566,130.0,Dawn of the Planet of the Apes,7.3,4410,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2014,Matt Reeves,Andy Serkis,Jason Clarke,Gary Oldman,1,0.6666666666666666,1.0,1.0,0.75
175000000,41.796339,150962475,119.0,47 Ronin,5.9,1326,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2013,Carl Rinsch,Keanu Reeves,Hiroyuki Sanada,Kou Shibasaki,0,0.0,0.7142857142857143,0.5,0.0
170000000,72.225265,714766572,136.0,Captain America: The Winter Soldier,7.6,5764,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,Anthony Russo,Chris Evans,Samuel L. Jackson,Scarlett Johansson,1,1.0,1.0,0.75,1.0
165000000,44.041186,752600867,93.0,Shrek Forever After,6.0,1959,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2010,Mike Mitchell,Mike Myers,Eddie Murphy,Cameron Diaz,1,1.0,0.8888888888888888,1.0,0.8888888888888888
190000000,130.311355,209154322,130.0,Tomorrowland,6.2,2846,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2015,Brad Bird,Britt Robertson,George Clooney,Raffey Cassidy,0,0.5,0.0,0.75,0.0
165000000,203.73459,652105443,102.0,Big Hero 6,7.8,6135,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2014,Chris Williams,Scott Adsit,Ryan Potter,Daniel Henney,1,1.0,1.0,1.0,1.0
165000000,62.341073,471222889,108.0,Wreck-It Ralph,7.1,4570,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2012,Rich Moore,John C. Reilly,Sarah Silverman,Jack McBrayer,1,1.0,0.25,1.0,1.0
165000000,47.323228,305875730,100.0,The Polar Express,6.4,1474,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2004,Robert Zemeckis,Tom Hanks,Michael Jeter,Nona Gaye,1,1.0,0.9130434782608695,1.0,1.0
165000000,48.775723,389681935,120.0,Independence Day: Resurgence,4.9,2491,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,Roland Emmerich,Liam Hemsworth,Jeff Goldblum,Bill Pullman,1,0.625,1.0,1.0,0.5
165000000,67.263269,494878759,98.0,How to Train Your Dragon,7.5,4227,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2010,Chris Sanders,Jay Baruchel,Gerard Butler,Craig Ferguson,1,1.0,1.0,1.0,1.0
200000000,69.405188,435000000,109.0,Terminator 3: Rise of the Machines,5.9,2143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2003,Jonathan Mostow,Arnold Schwarzenegger,Nick Stahl,Claire Danes,1,0.75,0.7272727272727273,1.0,1.0
170000000,481.098624,773328629,121.0,Guardians of the Galaxy,7.9,9742,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,1,0.5,1.0,0.625,1.0
165000000,724.247784,675120017,169.0,Interstellar,8.1,10867,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,Christopher Nolan,Matthew McConaughey,Jessica Chastain,Anne Hathaway,1,1.0,0.6428571428571429,0.5,1.0
